year.date,groupsize,group
1/1/10,31,PHG
2/1/10,31,PHG
3/1/10,32,PHG
4/1/10,31,PHG
5/1/10,33,PHG
6/1/10,32,PHG
7/1/10,32,PHG
8/1/10,32,PHG
9/1/10,34,PHG
10/1/10,25,PHG
10/1/10,7,ENK
11/1/10,25,PHG
11/1/10,7,ENK
12/1/10,25,PHG
12/1/10,7,ENK
1/1/11,26,PHG
1/1/11,6,ENK
2/1/11,26,PHG
2/1/11,6,ENK
3/1/11,25,PHG
3/1/11,8,ENK
4/1/11,26,PHG
4/1/11,7,ENK
5/1/11,28,PHG
5/1/11,8,ENK
6/1/11,29,PHG
6/1/11,9,ENK
7/1/11,29,PHG
7/1/11,10,ENK
8/1/11,30,PHG
8/1/11,9,ENK
9/1/11,29,PHG
9/1/11,10,ENK
10/1/11,29,PHG
10/1/11,8,ENK
11/1/11,27,PHG
11/1/11,12,ENK
12/1/11,11,OGS
12/1/11,14,PHG
1/1/12,11,OGS
1/1/12,15,PHG
2/1/12,11,OGS
2/1/12,15,PHG
3/1/12,11,OGS
3/1/12,17,PHG
4/1/12,12,OGS
4/1/12,18,PHG
5/1/12,12,OGS
5/1/12,18,PHG
6/1/12,14,OGS
6/1/12,17,PHG
7/1/12,15,OGS
7/1/12,18,PHG
8/1/12,14,OGS
8/1/12,18,PHG
8/1/12,11,ENK
9/1/12,15,OGS
9/1/12,17,PHG
9/1/12,12,ENK
10/1/12,15,OGS
10/1/12,17,PHG
10/1/12,10,ENK
11/1/12,13,OGS
11/1/12,18,PHG
11/1/12,10,ENK
12/1/12,13,OGS
12/1/12,19,PHG
12/1/12,10,ENK
1/1/13,12,OGS
1/1/13,19,PHG
1/1/13,11,ENK
2/1/13,12,OGS
2/1/13,20,PHG
2/1/13,12,ENK
3/1/13,11,OGS
3/1/13,21,PHG
3/1/13,12,ENK
4/1/13,11,OGS
4/1/13,23,PHG
4/1/13,12,ENK
5/1/13,11,OGS
5/1/13,20,PHG
5/1/13,11,ENK
6/1/13,23,PHG
6/1/13,12,ENK
7/1/13,24,PHG
7/1/13,12,ENK
8/1/13,24,PHG
8/1/13,13,ENK
9/1/13,24,PHG
9/1/13,13,ENK
10/1/13,25,PHG
10/1/13,13,ENK
11/1/13,25,PHG
11/1/13,13,ENK
12/1/13,25,PHG
12/1/13,13,ENK
1/1/14,26,PHG
1/1/14,12,ENK
2/1/14,26,PHG
2/1/14,12,ENK
3/1/14,26,PHG
3/1/14,12,ENK
4/1/14,26,PHG
4/1/14,12,ENK
5/1/14,25,PHG
5/1/14,12,ENK
6/1/14,24,PHG
6/1/14,13,ENK
7/1/14,26,PHG
7/1/14,13,ENK
8/1/14,27,PHG
8/1/14,12,ENK
9/1/14,27,PHG
9/1/14,12,ENK
10/1/14,27,PHG
10/1/14,13,ENK
11/1/14,27,PHG
11/1/14,13,ENK
12/1/14,29,PHG
12/1/14,13,ENK
1/1/15,25,PHG
1/1/15,17,ENK
2/1/15,25,PHG
2/1/15,17,ENK
3/1/15,24,PHG
3/1/15,18,ENK
4/1/15,23,PHG
4/1/15,18,ENK
5/1/15,24,PHG
5/1/15,18,ENK
6/1/15,27,PHG
6/1/15,15,ENK
7/1/15,27,PHG
7/1/15,15,ENK
8/1/15,28,PHG
8/1/15,15,ENK
9/1/15,28,PHG
9/1/15,15,ENK
10/1/15,24,PHG
10/1/15,20,ENK
11/1/15,22,PHG
11/1/15,21,ENK
12/1/15,22,PHG
12/1/15,22,ENK
1/1/16,23,PHG
1/1/16,22,ENK
2/1/16,25,PHG
2/1/16,22,ENK
3/1/16,25,PHG
3/1/16,22,ENK
4/1/16,25,PHG
4/1/16,22,ENK
5/1/16,26,PHG
5/1/16,14,ENK
5/1/16,7,YNT
6/1/16,24,PHG
6/1/16,13,ENK
6/1/16,11,YNT
7/1/16,25,PHG
7/1/16,13,ENK
7/1/16,11,YNT
8/1/16,24,PHG
8/1/16,13,ENK
8/1/16,11,YNT
9/1/16,24,PHG
9/1/16,13,ENK
9/1/16,11,YNT
10/1/16,25,PHG
10/1/16,13,ENK
10/1/16,10,YNT
11/1/16,27,PHG
11/1/16,14,ENK
11/1/16,9,YNT
12/1/16,26,PHG
12/1/16,14,ENK
12/1/16,11,YNT
1/1/17,28,PHG
1/1/17,14,ENK
1/1/17,9,YNT
2/1/17,28,PHG
2/1/17,14,ENK
2/1/17,9,YNT
3/1/17,28,PHG
3/1/17,14,ENK
3/1/17,8,YNT
4/1/17,27,PHG
4/1/17,13,ENK
4/1/17,9,YNT
5/1/17,28,PHG
5/1/17,14,ENK
5/1/17,8,YNT
6/1/17,28,PHG
6/1/17,14,ENK
6/1/17,8,YNT
7/1/17,26,PHG
7/1/17,16,ENK
7/1/17,7,YNT
8/1/17,35,PHG
8/1/17,16,ENK
8/1/17,8,YNT
9/1/17,36,PHG
9/1/17,15,ENK
9/1/17,9,YNT
10/1/17,37,PHG
10/1/17,15,ENK
10/1/17,10,YNT
11/1/17,35,PHG
11/1/17,20,ENK
11/1/17,9,YNT
12/1/17,31,PHG
12/1/17,20,ENK
12/1/17,9,YNT
1/1/18,31,PHG
1/1/18,21,ENK
1/1/18,10,YNT
2/1/18,32,PHG
2/1/18,20,ENK
2/1/18,10,YNT
12/1/11,12,ENK
1/1/12,12,ENK
2/1/12,12,ENK
3/1/12,12,ENK
4/1/12,12,ENK
5/1/12,12,ENK
6/1/12,12,ENK
7/1/12,12,ENK